student_id,name,age,gender,batch,domain,attendance_pct,assignment_score,project_score,quiz_score,mock_interview_score,communication_score,hackathons_participated,github_commits,certifications,internship_during_course,backlogs,placement_status,salary_lpa,company_tier
STU00111,Nikita Arora,26,Female,2022,MERN,68.5,73.7,65.6,73.9,5.6,5.2,1,104,3,1,0,Job,7.82,Tier 2
STU00112,Abhinav Nair,20,Male,2022,MERN,66.0,49.2,43.3,43.6,3.8,4.0,4,104,2,0,0,Internship,1.85,Tier 3
STU00113,Mohit Khanna,21,Male,2023,Figma Designer,74.1,63.2,64.4,71.0,7.8,6.2,0,114,1,0,1,Job,4.18,Tier 3
STU00114,Uday Rastogi,23,Male,2024,Data Science,78.6,62.0,70.6,58.4,6.9,6.5,3,192,2,0,0,No Job,0.0,Not Placed
STU00115,Swati Agarwal,26,Female,2023,MERN,48.3,30.1,26.1,32.5,3.7,3.3,2,50,0,0,1,No Job,0.0,Not Placed
STU00116,Asha Arora,19,Male,2022,DevOps,60.6,40.5,37.0,50.2,3.7,5.1,4,102,3,1,1,No Job,0.0,Not Placed
STU00117,Mira Verma,22,Male,2023,QA,45.3,33.8,20.5,36.3,2.2,4.9,1,0,0,0,2,No Job,0.0,Not Placed
STU00118,Shreya Rastogi,19,Male,2024,Data Science,69.6,53.8,63.4,46.4,5.8,6.8,4,170,1,1,0,Job,7.68,Tier 2
STU00119,Rajan Rastogi,19,Male,2024,MERN,73.1,63.9,64.8,67.1,5.3,4.5,2,117,2,1,0,Job,5.66,Tier 2
STU00120,Priya Dubey,23,Female,2023,Data Science,70.2,53.7,30.6,39.8,4.4,6.1,3,111,3,0,0,Job,6.86,Tier 2
STU00121,Nandini Gupta,24,Female,2024,Cybersecurity,66.3,47.6,47.3,54.4,5.0,4.8,2,82,2,1,0,Internship,1.2,Tier 2
STU00122,Karan Kumar,19,Male,2024,MERN,68.0,47.5,40.6,51.9,4.4,5.5,1,120,2,0,3,No Job,0.0,Not Placed
STU00123,Rahul Roy,24,Female,2022,MERN,40.0,25.6,22.3,15.0,2.3,2.9,3,31,3,0,0,No Job,0.0,Not Placed
STU00124,Rajan Kaur,23,Female,2023,DevOps,82.9,72.1,73.6,76.4,7.8,4.9,3,215,0,1,0,Job,8.07,Tier 1
STU00125,Anjali Goyal,22,Female,2024,Figma Designer,70.6,71.8,56.4,57.5,4.5,5.7,2,136,4,1,0,Job,5.25,Tier 3
STU00126,Swati Desai,23,Female,2023,MERN,70.0,55.6,46.2,45.8,4.4,6.3,1,102,1,1,1,No Job,0.0,Not Placed
STU00127,Nikita Chauhan,26,Male,2022,Data Science,61.1,49.3,43.6,35.6,3.5,4.2,0,47,2,0,0,No Job,0.0,Not Placed
STU00128,Sachin Patel,27,Male,2023,DevOps,78.0,78.4,68.5,76.7,5.0,5.5,3,120,1,0,0,Job,7.63,Tier 2
STU00129,Aditya Joshi,20,Male,2023,Figma Designer,44.8,21.5,20.0,23.9,2.7,5.5,1,26,1,0,3,No Job,0.0,Not Placed
STU00130,Nikita Sharma,24,Male,2024,Cybersecurity,63.1,54.1,36.9,34.7,4.0,5.5,1,28,3,0,2,No Job,0.0,Not Placed
STU00131,Asha Mehta,21,Female,2023,Figma Designer,74.4,55.4,50.6,56.7,6.0,6.2,0,112,1,0,0,No Job,0.0,Not Placed
STU00132,Prateek Jain,20,Male,2023,QA,69.5,77.7,65.8,71.8,7.1,6.9,1,162,3,0,0,No Job,0.0,Not Placed
STU00133,Avni Rastogi,19,Male,2024,Data Science,43.1,28.5,20.0,15.0,3.3,3.1,3,37,1,0,2,No Job,0.0,Not Placed
STU00134,Rajesh Tiwari,22,Female,2023,Cybersecurity,73.6,69.8,66.2,61.1,5.3,5.4,0,104,1,1,0,Internship,1.25,Tier 2
STU00135,Isha Srivastava,26,Male,2022,MERN,60.8,44.2,38.7,48.7,3.4,4.0,4,134,1,0,0,Internship,2.16,Tier 3
STU00136,Karishma Iyer,21,Female,2024,DevOps,62.4,48.8,47.0,48.5,3.7,6.1,1,81,0,0,0,No Job,0.0,Not Placed
STU00137,Vanshika Agarwal,23,Female,2023,MERN,64.0,50.3,50.7,46.4,6.6,5.1,5,136,1,1,0,Job,6.5,Tier 2
STU00138,Anjali Nair,23,Male,2023,MERN,50.5,36.5,25.9,31.6,4.2,2.5,2,59,2,0,1,No Job,0.0,Not Placed
STU00139,Neha Malhotra,23,Female,2023,Figma Designer,61.2,44.0,34.2,32.5,4.3,4.1,1,43,0,0,1,No Job,0.0,Not Placed
STU00140,Meena Khanna,27,Female,2022,Data Science,62.6,60.1,64.5,44.1,4.2,3.6,5,173,0,1,0,No Job,0.0,Not Placed
STU00141,Harsha Pillai,26,Male,2024,QA,80.7,87.1,90.6,89.1,7.3,6.5,2,214,1,1,0,Job,6.92,Tier 2
STU00142,Komal Shah,26,Male,2023,Data Science,48.0,32.4,32.8,32.3,4.4,2.7,2,28,2,0,1,No Job,0.0,Not Placed
STU00143,Amit Goyal,19,Male,2023,Data Science,60.6,35.3,35.2,34.5,2.6,4.2,1,100,2,0,1,No Job,0.0,Not Placed
STU00144,Shreya Arora,19,Female,2022,QA,59.0,48.5,32.3,40.5,3.1,4.2,0,35,3,0,2,No Job,0.0,Not Placed
STU00145,Aarav Dutta,20,Male,2023,Cybersecurity,65.1,44.3,41.4,55.0,5.1,6.3,4,138,0,1,1,Internship,1.15,Tier 2
STU00146,Rahul Shukla,26,Female,2024,QA,50.6,36.5,44.2,37.1,1.9,4.7,0,52,0,1,2,No Job,0.0,Not Placed
STU00147,Ishaan Desai,19,Male,2024,Data Science,45.2,40.1,43.0,29.3,5.2,3.8,4,106,2,0,0,No Job,0.0,Not Placed
STU00148,Varun Shah,22,Male,2024,DevOps,70.5,68.8,54.2,56.7,5.9,4.6,4,165,0,1,1,Job,7.6,Tier 2
STU00149,Asha Goyal,27,Male,2023,Cybersecurity,55.9,34.2,31.9,29.4,2.2,4.2,0,99,1,0,0,No Job,0.0,Not Placed
STU00150,Aditya Joshi,20,Male,2024,Cybersecurity,78.2,81.4,83.6,65.0,6.9,5.3,0,191,1,1,2,No Job,0.0,Not Placed
STU00151,Deepika Reddy,21,Male,2023,DevOps,53.7,33.5,28.1,35.9,4.0,5.4,1,44,0,1,2,No Job,0.0,Not Placed
STU00152,Deepika Dubey,24,Male,2024,Figma Designer,66.9,79.7,83.9,76.5,6.5,6.7,0,168,2,1,0,Job,6.07,Tier 2
STU00153,Yogesh Chopra,21,Male,2024,Cybersecurity,80.0,92.9,89.7,85.7,7.3,6.1,1,192,3,1,0,Job,8.58,Tier 1
STU00154,Kabir Singh,22,Female,2023,Figma Designer,79.3,69.1,72.3,63.6,6.3,5.7,1,112,0,1,0,Internship,0.95,Tier 2
STU00155,Vanshika Joshi,27,Male,2023,Cybersecurity,75.1,75.9,74.7,71.6,7.0,5.8,0,91,1,1,0,Job,7.83,Tier 2
STU00156,Tarun Malhotra,27,Female,2022,Cybersecurity,74.1,67.5,56.1,71.7,6.7,5.9,2,140,2,0,3,No Job,0.0,Not Placed
STU00157,Tarun Malhotra,23,Female,2023,Data Science,74.0,63.0,57.5,55.2,5.9,5.7,1,132,1,1,1,Internship,1.17,Tier 3
STU00158,Sonam Iyer,25,Female,2024,MERN,69.3,66.1,59.5,73.9,7.1,6.1,1,143,1,0,0,Job,6.84,Tier 2
STU00159,Vineeta Iyer,27,Female,2022,QA,63.6,39.6,45.3,47.5,5.1,5.2,0,97,2,1,1,No Job,0.0,Not Placed
STU00160,Pranav Shah,26,Male,2022,MERN,69.6,60.6,67.0,49.9,6.6,5.6,3,182,1,0,0,Job,6.89,Tier 2
STU00161,Sachin Tiwari,25,Female,2022,Data Science,75.0,69.0,77.5,64.8,7.8,7.6,0,136,2,0,2,Job,8.44,Tier 1
STU00162,Tushar Reddy,26,Female,2024,MERN,71.8,60.8,63.0,63.0,5.5,6.4,0,94,3,0,0,No Job,0.0,Not Placed
STU00163,Priya Reddy,23,Female,2023,MERN,54.7,33.6,57.0,43.5,3.1,5.9,5,132,4,1,0,Job,5.42,Tier 3
STU00164,Anushka Kapoor,23,Female,2022,Figma Designer,66.0,63.1,49.3,66.4,6.7,6.0,0,89,1,1,1,Internship,1.09,Tier 2
STU00165,Manisha Joshi,23,Male,2023,QA,58.8,39.6,39.7,45.0,5.0,5.9,0,84,1,1,3,No Job,0.0,Not Placed
STU00166,Anand Chawla,19,Female,2023,DevOps,61.9,47.0,47.5,48.2,4.8,2.7,3,105,2,0,0,Job,5.34,Tier 3
STU00167,Prateek Gupta,24,Male,2023,Data Science,79.5,63.1,71.1,60.8,5.2,6.0,2,142,3,0,0,Job,7.71,Tier 2
STU00168,Isha Dutta,23,Male,2024,Cybersecurity,56.4,42.6,43.5,52.2,3.7,6.7,2,99,1,0,1,No Job,0.0,Not Placed
STU00169,Nikita Kaur,26,Male,2023,Cybersecurity,68.8,65.5,72.1,56.5,6.2,6.9,1,154,0,0,1,Job,8.3,Tier 1
STU00170,Bhavna Pillai,26,Male,2023,Figma Designer,65.6,55.9,42.1,60.0,4.9,5.9,0,106,1,0,0,No Job,0.0,Not Placed
STU00171,Karan Singh,20,Male,2022,DevOps,69.2,63.4,53.9,62.0,5.6,5.1,1,184,0,1,0,Job,5.9,Tier 2
STU00172,Vinay Chopra,24,Male,2022,MERN,81.5,88.0,82.6,68.8,6.2,7.2,2,169,0,0,0,Internship,1.01,Tier 3
STU00173,Farhan Mishra,24,Other,2023,DevOps,55.9,53.7,49.4,48.2,4.9,5.5,1,131,1,0,0,No Job,0.0,Not Placed
STU00174,Tanvi Kapoor,21,Male,2023,Figma Designer,59.7,59.9,55.2,66.5,3.9,3.6,2,84,1,0,0,Internship,0.97,Tier 3
STU00175,Harsh Reddy,19,Male,2023,Cybersecurity,66.8,59.0,63.2,56.6,6.9,6.6,0,60,4,0,0,No Job,0.0,Not Placed
STU00176,Gaurav Reddy,25,Female,2022,Cybersecurity,43.5,20.0,20.0,15.0,1.7,2.5,2,0,1,0,2,No Job,0.0,Not Placed
STU00177,Rahul Jain,23,Male,2022,MERN,72.5,69.3,73.0,58.8,6.6,5.0,1,143,4,0,0,Job,7.33,Tier 2
STU00178,Akash Shah,23,Male,2024,QA,53.7,51.3,41.4,33.9,4.4,3.2,5,88,2,0,0,Job,4.27,Tier 3
STU00179,Pooja Gupta,26,Male,2023,QA,89.1,78.0,85.6,70.5,8.2,6.4,4,202,1,1,0,Job,6.21,Tier 2
STU00180,Kunal Nair,23,Male,2024,MERN,69.7,74.8,72.8,80.8,6.1,6.2,2,150,2,1,0,Job,7.42,Tier 2
STU00181,Harsh Patel,23,Male,2024,DevOps,69.4,70.6,65.7,69.3,6.9,5.7,1,152,1,0,0,Job,7.07,Tier 2
STU00182,Lalit Chauhan,19,Female,2023,MERN,77.9,68.8,74.0,56.6,6.8,5.3,0,93,2,0,0,Job,6.92,Tier 2
STU00183,Tarun Tiwari,20,Female,2024,MERN,57.6,55.5,46.6,47.2,5.8,4.1,4,141,1,0,3,No Job,0.0,Not Placed
